,Char,Genre,Title,line_count,gender
141,REV. 10/13/89   p. 17,Drama,awakenings,37,
142,(RE V. 10 /1 6/ 89) Pin k      _ p. 2 0,Drama,awakenings,29,
143,OLD DOCTOR,Drama,awakenings,75,
144,MANN,Drama,awakenings,46,
145,NEUROCHEMIST,Drama,awakenings,23,
147,JUDY'S FAMILY,Drama,rebelwithoutacause,24,
148,GENE,Drama,rebelwithoutacause,37,
149,GRANDMA,Drama,rebelwithoutacause,24,
150,LECTURER,Drama,rebelwithoutacause,75,
151,PRISONER PRIEST,Drama,underfire,24,
152,PEDRO,Drama,underfire,33,
153,SANDINISTA #1,Drama,underfire,34,
154,MR. BLACKLY,Drama,helpthe,37,
155,CANTINE,Drama,helpthe,23,
156,AMMAR,Drama,zerodarkthirty,31,
158,NSC FIREBRAND,Drama,invictus,36,
160,YASIRA,Drama,babel,25,
161,ANTHONY PERKINS,Drama,hitchcock,25,
162,LILY,Drama,iamsam,27,
163,MISS WRIGHT,Drama,iamsam,24,
164,CONNER,Drama,iamsam,29,
165,JUDGE,Drama,iamsam,32,
166,PATRICIA,Drama,iamsam,28,
167,THERAPIST,Drama,iamsam,24,
168,CHANDRA,Drama,philadelphia,21,
169,INTERN,Drama,philadelphia,25,
170,DR. ARMBRUSTER,Drama,philadelphia,28,
171,ANDREW (VO) (CONT.),Drama,philadelphia,21,
172,ROSE,Drama,blacksnakemoan,60,
173,MAYELLA,Drama,blacksnakemoan,31,
174,JESSE,Drama,blacksnakemoan,33,
175,DEKE,Drama,blacksnakemoan,25,
176,ELLA MAE,Drama,blacksnakemoan,23,
177,DEALER,Drama,cincinnatikidthe,28,
179,BRENNAMAN V/O,Drama,moneyball,38,
181,ARN,Drama,moneyball,31,
183,KEOUGH,Drama,moneyball,25,
184,MARTINEZ,Drama,moneyball,42,
185,SHAPIRO,Drama,moneyball,40,
186,JONGEWAARD,Drama,moneyball,44,
187,CLAIRE,Drama,verdictthe,40,
189,BISHOP,Drama,verdictthe,66,
190,DONEGHY,Drama,verdictthe,60,
191,MARY ROONEY,Drama,verdictthe,33,
192,YOUNG ATTORNEY,Drama,verdictthe,21,
193,SALLY BUCK,Drama,midnightcowboy,33,
194,CASS,Drama,midnightcowboy,65,
195,O'DANIEL,Drama,midnightcowboy,67,
196,RATSVOICE,Drama,midnightcowboy,37,
197,SHIRLEY'S VOICE,Drama,midnightcowboy,25,
198,SHIRLEY,Drama,midnightcowboy,90,
199,JOE'S VOICE,Drama,midnightcowboy,33,
200,RECEPTIONIST,Drama,jacobsladder,25,
201,DELLA,Drama,jacobsladder,22,
202,ELSA,Drama,jacobsladder,21,
203,CADDY,Drama,allthepresidentsmen,44,
204,JUDGE,Drama,allthepresidentsmen,22,
205,LIBRARIAN,Drama,allthepresidentsmen,21,
206,IRWIN,Drama,allthepresidentsmen,28,
207,HANNAH,Drama,allthepresidentsmen,45,
208,SECRETARY,Drama,allthepresidentsmen,48,
209,DAHLBERG,Drama,allthepresidentsmen,21,
210,NATIONAL EDITOR,Drama,allthepresidentsmen,27,
211,FOREIGN EDITOR,Drama,allthepresidentsmen,41,
212,JANE,Drama,allthepresidentsmen,29,
213,JERRY,Drama,boogienights,23,
214,MOTHER,Drama,boogienights,62,
215,LIMO DRIVER,Drama,boogienights,23,
216,MRS. BURDEN,Drama,allthekingsmen,51,
217,WILLIE'S VOICE,Drama,allthekingsmen,22,
218,MADISON,Drama,allthekingsmen,57,
219,MCEVOY,Drama,allthekingsmen,46,
220,BARKER,Drama,elephantmanthe,22,
221,OWNER,Drama,elephantmanthe,49,
222,FOX,Drama,elephantmanthe,70,
223,NICK VOLPE,Drama,wrestlerthe,44,
224,LEX LETHAL,Drama,wrestlerthe,29,
225,DR. TARACHANDANI,Drama,wrestlerthe,41,
226,DOCTOR SHANNAN,Drama,takeshelter,47,
227,INSURANCE AGENT,Drama,takeshelter,29,
228,SARAH,Drama,takeshelter,33,
230,TEACHER,Drama,takeshelter,25,
232,KIP,Drama,flight,44,
233,(ON RADIO),Drama,flight,37,
234,ATC,Drama,flight,66,
235,DOCTOR,Drama,flight,22,
236,NTSB OFFICER #1,Drama,flight,32,
237,GAUNT YOUNG MAN,Drama,flight,95,
238,COUNSELLOR,Drama,hesher,28,
239,COP,Drama,hesher,21,
240,KWAN,Action,americanshaolinkingofkickboxersii,117,
242,ASHEMA,Action,americanshaolinkingofkickboxersii,73,
243,LI,Action,americanshaolinkingofkickboxersii,55,
244,ARHAT,Action,americanshaolinkingofkickboxersii,22,
245,D.S.,Action,americanshaolinkingofkickboxersii,143,
246,GAO,Action,americanshaolinkingofkickboxersii,73,
247,SAN DE,Action,americanshaolinkingofkickboxersii,223,
248,DREW,Action,americanshaolinkingofkickboxersii,638,
249,TREVOR,Action,americanshaolinkingofkickboxersii,65,
250,QUINN,Action,touristthe,25,
251,DOMENICO,Action,touristthe,112,
253,MITCHELL,Action,diehard,39,
254,FRANCO,Action,diehard,24,
255,ELLIS,Action,diehard,131,
256,HANS' VOICE,Action,diehard,45,
257,GAIL,Action,diehard,23,
258,HASSELDORF,Action,diehard,31,
259,POWELL'S VOICE,Action,diehard,21,
261,ENGINEER,Action,diehard,22,
262,INTERCUT:,Action,diehard,34,
264,LITTLE JOHNSON,Action,diehard,42,
265,BIG JOHNSON,Action,diehard,70,
266,HANS,Action,diehard,552,
267,MCCLANE,Action,diehard,710,
269,ROBINSON,Action,diehard,119,
270,POWELL,Action,diehard,273,
271,THORNBURG,Action,diehard,74,
272,ARGYLE,Action,diehard,122,
273,DR. LING,Action,rockthe,21,
274,ISHERWOOD,Action,rockthe,31,
275,JADE,Action,rockthe,28,
276,COMMANDER ANDERSON,Action,rockthe,108,
277,GENERAL PETERSON,Action,rockthe,24,
278,GENERAL KRAMER,Action,rockthe,62,
279,HAYDEN SINCLAIR,Action,rockthe,28,
280,BAXTER,Action,rockthe,23,
281,HUMMEL,Action,rockthe,271,
282,CAPTAIN DARROW,Action,rockthe,43,
283,CAPTAIN FRYE,Action,rockthe,47,
284,MASON,Action,rockthe,333,
285,SANCHEZ,Action,rockthe,96,
286,F.B.I. DIRECTOR WOMACK,Action,rockthe,155,
287,PRESIDENT,Action,rockthe,27,
288,CARLA,Action,rockthe,57,
289,GOEED,Action,rockthe,433,
291,BAFFERT,Action,metro,118,
292,KIMURA,Action,metro,38,
295,EARL,Action,longkissgoodnightthe,26,
296,SILVER-HAIRED MAN,Action,longkissgoodnightthe,30,
298,GREGORY,Action,longkissgoodnightthe,22,
299,SAMANTHA,Action,longkissgoodnightthe,416,
300,DAEDALUS,Action,longkissgoodnightthe,64,
301,PROSTITUTE,Action,jimmyandjudy,42,
302,DR. WALTERS,Action,jimmyandjudy,42,
303,JIMMY'S DAD,Action,jimmyandjudy,21,
304,DINKO (O.C.),Action,jimmyandjudy,37,
305,DINKO,Action,jimmyandjudy,97,
306,ELVIS,Action,jimmyandjudy,40,
307,ANCHORMAN,Action,jimmyandjudy,24,
308,JIMMY'S MOM,Action,jimmyandjudy,33,
309,BUDDY (O.C.),Action,jimmyandjudy,46,
310,UNCLE RODNEY,Action,jimmyandjudy,93,
311,BUDDY,Action,jimmyandjudy,63,
312,JIMMY,Action,jimmyandjudy,426,
313,JUDY (O.C.),Action,jimmyandjudy,380,
314,CAMERA ON:,Action,jimmyandjudy,69,
315,JIMMY (O.C.),Action,jimmyandjudy,755,
316,JUDY,Action,jimmyandjudy,519,
317,HAFIZ,Action,fairgame,33,
318,CPD AGENT,Action,fairgame,24,
319,DR FER,Action,fairgame,41,
320,TURNER,Action,fairgame,31,
321,PROFESSOR AZIZ,Action,fairgame,53,
322,ANALYST 1,Action,fairgame,21,
323,PAUL,Action,fairgame,67,
324,JEFF,Action,fairgame,30,
325,PRESIDENT (ON TV),Action,fairgame,36,
326,CHANCELLOR WILSON,Action,programthe,32,
327,ADVISOR SMITH,Action,programthe,26,
328,BERMAN,Action,programthe,21,
329,BOBBY,Action,programthe,32,
330,BRAVER,Action,programthe,30,
331,SWANN,Action,programthe,27,
332,A Muslim family sits together at a table under a tented-,Action,kingdomthe,25,
333,KINGDOM 8/18/06   10.,Action,kingdomthe,34,
334,GRANDFATHER (O.C.),Action,kingdomthe,22,
335,ELLIS LEACH,Action,kingdomthe,24,
336,ELAINE FLOWERS,Action,kingdomthe,48,
337,PRINCE THAMER,Action,kingdomthe,53,
338,GIDEON YOUNG,Action,kingdomthe,73,
339,MARCUS,Action,gladiator,189,
340,QUINTUS,Action,gladiator,45,
341,SLAVE TRADER,Action,gladiator,32,
342,MARCELLUS,Action,gladiator,29,
343,JUDGE FRANKEL,Action,siegethe,34,
344,FRED,Action,siegethe,22,
346,PATROLMAN,Action,machete,31,
347,COP,Action,machete,25,
348,DOC FELIX,Action,machete,47,
349,JUNE,Action,machete,27,
350,APRIL,Action,machete,33,
351,BOSS,Action,machete,28,
352,(ON PHONE),Action,machete,53,
353,LUZ,Action,machete,85,
354,SNIPER,Action,machete,65,
355,PADRE,Action,machete,74,
356,MCLAUGHLIN,Action,machete,108,
357,VON,Action,machete,79,
358,BENZ,Action,machete,227,
359,TORREZ,Action,machete,32,
360,ELEKTRA,Action,machete,284,
361,MACHETE,Action,machete,175,
362,WILDER,Action,arcticblue,161,
363,CORBETT (Cont'd),Action,arcticblue,22,
365,KENAI,Action,arcticblue,91,
366,LEMALLE,Action,arcticblue,128,
367,MITCHELL,Action,arcticblue,73,
368,ANNE MARIE,Action,arcticblue,201,
369,MEYERLING,Action,arcticblue,114,
370,NEFF,Action,arcticblue,104,
