MR. BEAVER,Action,chroniclesofnarniathelionthewitchandthewardrobe,47
WHITE WITCH,Action,chroniclesofnarniathelionthewitchandthewardrobe,62
ASLAN,Action,chroniclesofnarniathelionthewitchandthewardrobe,35
TUMNUS,Action,chroniclesofnarniathelionthewitchandthewardrobe,33
EDMUND,Action,chroniclesofnarniathelionthewitchandthewardrobe,106
SUSAN,Action,chroniclesofnarniathelionthewitchandthewardrobe,90
PETER,Action,chroniclesofnarniathelionthewitchandthewardrobe,139
LUCY,Action,chroniclesofnarniathelionthewitchandthewardrobe,114
STONE,Action,surrogates,26
PETERS,Action,surrogates,119
(CONTINUED),Action,surrogates,97
CONTINUED:,Action,surrogates,69
CANTER,Action,surrogates,24
MAGGIE,Action,surrogates,44
GREER,Action,surrogates,251
JACK,Action,wildhogs,68
CHARLEY,Action,wildhogs,49
BOB,Action,wildhogs,104
KELLY,Action,wildhogs,40
WOODY,Action,wildhogs,153
DUDLEY,Action,wildhogs,109
DOUG,Action,wildhogs,299
CHARLIE,Action,blackrain,241
SUGAI,Action,blackrain,89
KOBO,Action,blackrain,72
OHASHI,Action,blackrain,77
JOYCE,Action,blackrain,143
OLIVER,Action,blackrain,61
ICH,Action,blackrain,333
NICK,Action,blackrain,699
AUCTIONEER,Action,frenchconnectionthe,22
MUTCHIE,Action,frenchconnectionthe,73
DESK CLERK,Action,frenchconnectionthe,35
WEINSTOCK,Action,frenchconnectionthe,36
SIMN,Action,frenchconnectionthe,87
MARIE,Action,frenchconnectionthe,49
NICOLI,Action,frenchconnectionthe,28
VOICES,Action,frenchconnectionthe,23
MULDERIG,Action,frenchconnectionthe,69
LA VALLE,Action,frenchconnectionthe,85
CHARNIER,Action,frenchconnectionthe,178
DEVEREAUX,Action,frenchconnectionthe,73
SAL,Action,frenchconnectionthe,101
RUSSO,Action,frenchconnectionthe,311
DOYLE,Action,frenchconnectionthe,519
CARLSBY,Action,entrapment,55
CRUZ,Action,entrapment,72
STEWARD,Action,entrapment,25
QIU,Action,entrapment,27
GIN,Action,entrapment,956
MAC,Action,entrapment,1149
ELDERLY JAPANESE MAN,Action,inception,24
MILES,Action,inception,56
YUSUF,Action,inception,143
(MORE),Action,inception,22
EAMES,Action,inception,272
MAL,Action,inception,216
BROWNING,Action,inception,89
FISCHER,Action,inception,183
ARTHUR,Action,inception,415
ARIADNE,Action,inception,479
SAITO,Action,inception,245
COBB,Action,inception,1528
WARDEN,Action,mummythe,47
EGYPTOLOGIST,Action,mummythe,33
HENDERSON,Action,mummythe,56
DANIELS,Action,mummythe,55
CURATOR,Action,mummythe,108
WINSTON,Action,mummythe,33
ARDETH RAY,Action,mummythe,72
IMHOTEP,Action,mummythe,102
EVELYN,Action,mummythe,506
BENI,Action,mummythe,162
JONATHAN,Action,mummythe,286
O'CONNELL,Action,mummythe,540
DESK CLERK,Action,newyorkminute,38
BOBO,Action,newyorkminute,22
SPEEDY,Action,newyorkminute,30
CANADIAN REPRESENTATIVE,Action,newyorkminute,22
ROGER,Action,newyorkminute,50
MORTY,Action,newyorkminute,37
MRS. LO BIANCHO,Action,newyorkminute,91
WILLIAMSON,Action,newyorkminute,40
BENNIE,Action,newyorkminute,61
HOGAN,Action,newyorkminute,73
PROFESSOR SPAULDING,Action,newyorkminute,50
JIM,Action,newyorkminute,24
WARREN,Action,newyorkminute,132
QUINN,Action,newyorkminute,91
(CONTINUED),Action,newyorkminute,176
PARKER,Action,newyorkminute,759
DREW,Action,newyorkminute,765
CHARLEY,Action,newyorkminute,87
SATIPO,Action,indianajonesandtheraidersofthelostark,33
BELZIG,Action,indianajonesandtheraidersofthelostark,40
SALLAH,Action,indianajonesandtheraidersofthelostark,76
BELLOQ,Action,indianajonesandtheraidersofthelostark,162
SHLIEMANN,Action,indianajonesandtheraidersofthelostark,80
BRODY,Action,indianajonesandtheraidersofthelostark,46
EATON,Action,indianajonesandtheraidersofthelostark,44
MUSGROVE,Action,indianajonesandtheraidersofthelostark,41
MARION,Action,indianajonesandtheraidersofthelostark,298
INDY,Action,indianajonesandtheraidersofthelostark,591
NATHANIEL,Action,pointbreak,22
BUNKER,Action,pointbreak,21
WOMAN,Action,pointbreak,37
REAGAN,Action,pointbreak,21
BODHI/REAGAN,Action,pointbreak,30
GROMMET,Action,pointbreak,36
MUNOZ,Action,pointbreak,27
HARP,Action,pointbreak,93
PAPPAS,Action,pointbreak,403
ROACH,Action,pointbreak,49
TYLER,Action,pointbreak,178
BODHI,Action,pointbreak,431
UTAH,Action,pointbreak,703
QUINN,Action,touristthe,25
DOMENICO,Action,touristthe,112
DEMIDOV,Action,touristthe,116
JEAN LUC,Action,touristthe,30
GOYAL,Action,touristthe,44
JONES,Action,touristthe,80
ACKERMAN,Action,touristthe,399
THE ENGLISHMAN,Action,touristthe,36
CARA,Action,touristthe,404
FRANK,Action,touristthe,460
WOMAN,Action,logansrun,23
DOC,Action,logansrun,70
HOLLY,Action,logansrun,26
VOICE,Action,logansrun,45
BOX,Action,logansrun,77
MAN,Action,logansrun,31
FRANCIS (emotional;,Action,logansrun,21
FRANCIS,Action,logansrun,150
JESSICA,Action,logansrun,297
OLD MAN,Action,logansrun,116
LOGAN,Action,logansrun,606
FRANKLIN,Action,riseoftheplanetoftheapes,24
DODGE,Action,riseoftheplanetoftheapes,50
JACOBS,Action,riseoftheplanetoftheapes,32
STEWART,Action,riseoftheplanetoftheapes,68
CAESAR,Action,riseoftheplanetoftheapes,41
WILL,Action,riseoftheplanetoftheapes,248
TRAINING CAPTAIN,Action,pearlharbor,22
BRITISH AIR COMMANDER,Action,pearlharbor,23
PRESIDENT RVELT,Action,pearlharbor,23
BARBARA,Action,pearlharbor,37
BETTY,Action,pearlharbor,52
ADMIRAL KIMMEL,Action,pearlharbor,22
BILLY,Action,pearlharbor,32
EARL,Action,pearlharbor,25
GENDA,Action,pearlharbor,48
YAMAMOTO,Action,pearlharbor,64
DORIE,Action,pearlharbor,40
EVELYN,Action,pearlharbor,239
ADMIRAL,Action,pearlharbor,38
ANTHONY,Action,pearlharbor,48
GENERAL MARSHALL,Action,pearlharbor,32
RVELT,Action,pearlharbor,64
DOOLITTLE,Action,pearlharbor,156
COMA,Action,pearlharbor,43
RED,Action,pearlharbor,88
DANNY,Action,pearlharbor,366
RAFE,Action,pearlharbor,444
TAKAGI,Action,diehard,69
MITCHELL,Action,diehard,39
FRANCO,Action,diehard,24
ELLIS,Action,diehard,131
HANS' VOICE,Action,diehard,45
GAIL,Action,diehard,23
HASSELDORF,Action,diehard,31
POWELL'S VOICE,Action,diehard,21
THEO,Action,diehard,77
ENGINEER,Action,diehard,22
INTERCUT:,Action,diehard,34
KARL,Action,diehard,51
LITTLE JOHNSON,Action,diehard,42
BIG JOHNSON,Action,diehard,70
HANS,Action,diehard,552
MCCLANE,Action,diehard,710
HOLLY,Action,diehard,183
ROBINSON,Action,diehard,119
POWELL,Action,diehard,273
THORNBURG,Action,diehard,74
