char,genre,title,line_count,pkey
STAN,Sci-Fi,eternalsunshineofthespotlessmind,192,stan-eternalsunshineofthespotlessmind
FAITH,Mystery,strangedays,204,faith-strangedays
HOST,Action,strangedays,25,host-strangedays
LEAVITT,Thriller,kingdomthe,47,leavitt-kingdomthe
VOICES,Romance,anniehall,26,voices-anniehall
WORF,Drama,startreknemesis,117,worf-startreknemesis
OPERATOR,Crime,aliennation,38,operator-aliennation
NURSE DEVINE,Drama,hospitalthe,27,nurse_devine-hospitalthe
DIVA,Comedy,fifthelementthe,36,diva-fifthelementthe
FRAN (cont'd),Crime,heist,41,fran_(cont'd)-heist
JAVIER,Romance,brokenembraces,24,javier-brokenembraces
THE CAPTAIN,Mystery,citizenkane,30,the_captain-citizenkane
CAROL,Romance,hannahandhersisters,41,carol-hannahandhersisters
CORONER,Crime,insomnia,21,coroner-insomnia
ETHAN,Western,searchersthe,765,ethan-searchersthe
SENATOR MALCOLM,Drama,minorityreport,67,senator_malcolm-minorityreport
JEREMY,Sci-Fi,sdarko,303,jeremy-sdarko
JEN,Thriller,super8,40,jen-super8
BREE,Thriller,klute,989,bree-klute
BTT,Comedy,snatch,327,btt-snatch
DIETER,Romance,readerthe,82,dieter-readerthe
SONNY,Drama,godfatherpartii,21,sonny-godfatherpartii
TIGRESS,Comedy,kungfupanda,109,tigress-kungfupanda
ANNIE,Comedy,anniehall,1362,annie-anniehall
ARN,Action,irobot,30,arn-irobot
KRISTEL,Adventure,cliffhanger,87,kristel-cliffhanger
CARA,Thriller,touristthe,404,cara-touristthe
ATASHIR,Comedy,hangoverthe,26,atashir-hangoverthe
GIRL,Film-Noir,sweetsmellofsuccess,21,girl-sweetsmellofsuccess
MAN,Drama,fourrooms,113,man-fourrooms
NURSE RANDALL,Drama,mygirl,23,nurse_randall-mygirl
DR. MONTGOMERY,Drama,changeling,28,dr._montgomery-changeling
GLADYS,Crime,manhattanmurdermystery,34,gladys-manhattanmurdermystery
LYMAN,Drama,starman,69,lyman-starman
(CONTINUED),Horror,gothika,192,(continued)-gothika
RAMONA,Comedy,scottpilgrimvstheworld,218,ramona-scottpilgrimvstheworld
STRIDER,Adventure,lordoftheringsfellowshipoftheringthe,103,strider-lordoftheringsfellowshipoftheringthe
DETECTIVE NEAL DOMGAARD,Drama,mulhollanddrive,53,detective_neal_domgaard-mulhollanddrive
TESS,Comedy,dropdeadgorgeous,32,tess-dropdeadgorgeous
ZUZU,Family,itsawonderfullife,25,zuzu-itsawonderfullife
LONG,Crime,jfk,65,long-jfk
ELAINE'S VOICE,Comedy,graduatethe,26,elaine's_voice-graduatethe
WILLY,Drama,backdraft,32,willy-backdraft
HENRY,Fantasy,frankenstein,227,henry-frankenstein
SOKAL,Drama,cincinnatikidthe,52,sokal-cincinnatikidthe
MARGARET,Action,getcarter,67,margaret-getcarter
PISCANMOTHER,Crime,casino,51,piscanmother-casino
FRANK D'IGNAZIO,Thriller,minorityreport,65,frank_d'ignazio-minorityreport
GLORIA,Horror,heavymetal,41,gloria-heavymetal
EGYPTOLOGIST,Horror,mummythe,33,egyptologist-mummythe
LUISA,Romance,nine,128,luisa-nine
GENERAL SLATER,Drama,fromheretoeternity,26,general_slater-fromheretoeternity
MR. GIBBONS,Horror,finaldestination2,39,mr._gibbons-finaldestination2
DON PRICE,Comedy,bigfish,34,don_price-bigfish
THORKEL,Sci-Fi,spiderman,123,thorkel-spiderman
BURT,Thriller,memento,85,burt-memento
DJ,Sci-Fi,eventhorizon,140,dj-eventhorizon
ED'S VOICE,Drama,edwood,27,ed's_voice-edwood
LOUNDS,Thriller,manhunter,111,lounds-manhunter
(BEAT),Family,sandlotkidsthe,196,(beat)-sandlotkidsthe
BIALYSTOCK AND BLOOM,Musical,producerthe,30,bialystock_and_bloom-producerthe
MRS. MUNSON,Comedy,ladykillersthe,511,mrs._munson-ladykillersthe
CODY,Drama,lonestar,41,cody-lonestar
CLERK,Thriller,fatalinstinct,22,clerk-fatalinstinct
JOEL,Thriller,scream2,57,joel-scream2
ANDREA,Drama,butterflyeffectthe,211,andrea-butterflyeffectthe
FIRST POLICEMAN,Thriller,mutewitness,37,first_policeman-mutewitness
GIGI,Comedy,hesjustnotthatintoyou,682,gigi-hesjustnotthatintoyou
L.C.,Drama,fasttimesatridgemonthigh,36,l.c.-fasttimesatridgemonthigh
LIEUTENANT COLONEL,Romance,fromheretoeternity,24,lieutenant_colonel-fromheretoeternity
LIEUTENANT GLASER,Crime,minorityreport,38,lieutenant_glaser-minorityreport
CONDUCTOR,Drama,stingthe,26,conductor-stingthe
KIRKHILL,Action,rambofirstbloodiithemission,263,kirkhill-rambofirstbloodiithemission
LARRY,Comedy,election,51,larry-election
LUCIFER,Thriller,prophecythe,86,lucifer-prophecythe
RAYMOND,Action,metro,43,raymond-metro
GRIMSRUD,Thriller,fargo,34,grimsrud-fargo
WOMAN,Action,logansrun,23,woman-logansrun
CARL ELWAY,Crime,americanhustle,61,carl_elway-americanhustle
HARRIET,Thriller,soimarriedanaxemurderer,589,harriet-soimarriedanaxemurderer
DR. LECTER,Crime,silenceofthelambs,574,dr._lecter-silenceofthelambs
BILL,Drama,edwardscissorhands,54,bill-edwardscissorhands
ASMINE walking through the street.),Family,aladdin,22,asmine_walking_through_the_street.)-aladdin
"NARRATOR: The next day, after school, I went to",Mystery,whiteribbonthe,23,"narrator:_the_next_day,_after_school,_i_went_to-whiteribbonthe"
ANNA,Drama,nottinghill,667,anna-nottinghill
PAUL (voice over),Comedy,manhattanmurdermystery,50,paul_(voice_over)-manhattanmurdermystery
BILLY,Crime,bonnieandclyde,23,billy-bonnieandclyde
MAYOR,Comedy,stateandmain,95,mayor-stateandmain
CHARLES,Crime,observeandreport,81,charles-observeandreport
STEPHANIE,Romance,nine,69,stephanie-nine
CAB DRIVER,Comedy,arsenicandoldlace,52,cab_driver-arsenicandoldlace
MATT,Thriller,gravity,519,matt-gravity
JUDGE FELDMAN,Drama,fracture,38,judge_feldman-fracture
PETERS,Sci-Fi,eventhorizon,246,peters-eventhorizon
ZACK,Thriller,lifeofdavidgalethe,352,zack-lifeofdavidgalethe
EVAN,Adventure,cliffhanger,21,evan-cliffhanger
STEELE,Adventure,castaway,23,steele-castaway
FARAMIR,Fantasy,lordoftheringsthetwotowers,27,faramir-lordoftheringsthetwotowers
TRINITY,Action,matrixthe,336,trinity-matrixthe
SYLVIA,Comedy,dogdayafternoon,152,sylvia-dogdayafternoon
SYKES,Drama,smokinaces,226,sykes-smokinaces
ADAM,Comedy,verybadthings,390,adam-verybadthings
VOLUMNIA,Thriller,coriolanus,71,volumnia-coriolanus
CRABBY,Animation,cars2,25,crabby-cars2
BUNUEL,Drama,henryfool,70,bunuel-henryfool
KRUGER,Sci-Fi,airplane2thesequel,91,kruger-airplane2thesequel
GUDGE,Crime,ladykillersthe,32,gudge-ladykillersthe
ADRIAN,Sci-Fi,2012,344,adrian-2012
HIGHWAY PATROLMAN,Drama,fearandloathinginlasvegas,35,highway_patrolman-fearandloathinginlasvegas
EXECUTIVE 1,Drama,simone,21,executive_1-simone
LENA,Thriller,thelmalouise,24,lena-thelmalouise
ANGLO MOTHER,Crime,lonestar,26,anglo_mother-lonestar
CASINO EMPLOYEE,Drama,smokinaces,38,casino_employee-smokinaces
JENNY,Fantasy,bigfish,239,jenny-bigfish
KAY-EM 14,Action,jasonx,230,kay-em_14-jasonx
HIK,Adventure,dragonslayer,69,hik-dragonslayer
KUATO,Adventure,totalrecall,72,kuato-totalrecall
CHARLES,Mystery,super8,446,charles-super8
DAVID,Sci-Fi,prometheus,247,david-prometheus
HULL,Comedy,beingthere,26,hull-beingthere
DAVID 0. SELZNICK,Drama,rko281,22,david_0._selznick-rko281
HENRYK,War,pianistthe,178,henryk-pianistthe
ELROND (cont'd),Adventure,lordoftheringsreturnoftheking,24,elrond_(cont'd)-lordoftheringsreturnoftheking
HAM,Drama,sandlotkidsthe,160,ham-sandlotkidsthe
MATT (cont'd),Sci-Fi,hollowman,36,matt_(cont'd)-hollowman
SALLAH,Adventure,indianajonesandtheraidersofthelostark,76,sallah-indianajonesandtheraidersofthelostark
HOOKER,Comedy,stingthe,609,hooker-stingthe
JOHN,Horror,whenastrangercalls,180,john-whenastrangercalls
BIGGS,Thriller,bodyofevidence,99,biggs-bodyofevidence
SCHERNER,War,schindlerslist,39,scherner-schindlerslist
NIKOLAI,Comedy,jennifersbody,124,nikolai-jennifersbody
MRS. LEFFERTS,Drama,laconfidential,65,mrs._lefferts-laconfidential
STANLEY,Comedy,manonthemoon,68,stanley-manonthemoon
ROSA'S MOTHER,Romance,lasttangoinparis,85,rosa's_mother-lasttangoinparis
RAMONA,Crime,intolerablecruelty,53,ramona-intolerablecruelty
SZPILMAN,Drama,pianistthe,446,szpilman-pianistthe
CHET,Thriller,lastboyscoutthe,39,chet-lastboyscoutthe
CHLOE,Comedy,trumanshowthe,108,chloe-trumanshowthe
LUCINDA'S SON,Western,tombstone,21,lucinda's_son-tombstone
BEN,Comedy,hesjustnotthatintoyou,280,ben-hesjustnotthatintoyou
NARRATOR,Romance,moonrisekingdom,70,narrator-moonrisekingdom
SHORT SCIENTIST,Adventure,losersthe,62,short_scientist-losersthe
GOYAL,Thriller,touristthe,44,goyal-touristthe
MIKE,Adventure,whitesquall,83,mike-whitesquall
ROK,Sci-Fi,airplane2thesequel,35,rok-airplane2thesequel
PAUL,Music,doorsthe,62,paul-doorsthe
MR. MILLER,Fantasy,butterflyeffectthe,91,mr._miller-butterflyeffectthe
MARKE,Romance,tristanandisolde,135,marke-tristanandisolde
JEAN,Fantasy,jacketthe,24,jean-jacketthe
MALCOLM X,Drama,ali,176,malcolm_x-ali
PRIVATE MILLER,Comedy,pineappleexpress,23,private_miller-pineappleexpress
WAYNE SCOTT,Action,megamind,89,wayne_scott-megamind
ARAMIS,Drama,manintheironmask,430,aramis-manintheironmask
MAX,Crime,losersthe,239,max-losersthe
BLURR,Action,transformersthemovie,21,blurr-transformersthemovie
SIMON,Romance,autumninnewyork,104,simon-autumninnewyork
DR. GELLER,Comedy,edtv,34,dr._geller-edtv
MR. DUDLEY,Horror,hauntingthe,57,mr._dudley-hauntingthe
JACK,Romance,airplane,26,jack-airplane
YOUNG WOMAN,Romance,broadcastnews,47,young_woman-broadcastnews
GIBBS,Action,piratesofthecaribbeandeadmanschest,232,gibbs-piratesofthecaribbeandeadmanschest
GREER,Adventure,ghostship,325,greer-ghostship
AL,Action,breakdown,29,al-breakdown
MOTHER,Drama,vforvendetta,62,mother-vforvendetta
HUDD,Drama,gangrelated,21,hudd-gangrelated
BOBBY,Comedy,backupplanthe,204,bobby-backupplanthe
EASTER,Drama,meetjoeblack,78,easter-meetjoeblack
GREGOIRE,Drama,hotelrwanda,39,gregoire-hotelrwanda
WISHFUL,Animation,happyfeet,87,wishful-happyfeet
COMPUTER VOICE,Thriller,jasonx,25,computer_voice-jasonx
LEBI,Mystery,biglebowskithe,167,lebi-biglebowskithe
PADICHE,Drama,smokinaces,98,padiche-smokinaces
DISSOLVE TO:,Drama,perfectcreature,122,dissolve_to:-perfectcreature
MARY LAZARUS,Musical,sisteract,115,mary_lazarus-sisteract
CORRADO,Thriller,avventuraltheadventure,150,corrado-avventuraltheadventure
DAPPER GENT,Action,ronin,25,dapper_gent-ronin
COFFEY,Action,abyssthe,141,coffey-abyssthe
JEREMY,Thriller,unbreakable,86,jeremy-unbreakable
NAT,Thriller,takeshelter,25,nat-takeshelter
RED DOG,Comedy,almostfamous,22,red_dog-almostfamous
CLAY,Action,hellboy,82,clay-hellboy
GUARD,Crime,midnightexpress,26,guard-midnightexpress
REF,Comedy,replacementsthe,38,ref-replacementsthe
DUSTY,Crime,sdarko,32,dusty-sdarko
DEANNA,Drama,godfatherpartii,59,deanna-godfatherpartii
MR. BOATS,Drama,americansplendor,42,mr._boats-americansplendor
JIMMY PIG,Action,soldier,47,jimmy_pig-soldier
JEN,Drama,burningannie,24,jen-burningannie
ALLISON,Horror,hellraiserhellseeker,216,allison-hellraiserhellseeker
CHARLIE,Drama,blackrain,241,charlie-blackrain
PATCHETT,Mystery,laconfidential,108,patchett-laconfidential
LION,Adventure,wizardofozthe,328,lion-wizardofozthe
RACHEL,Mystery,hanna,36,rachel-hanna
KELLY,Thriller,fugitivethe,28,kelly-fugitivethe
CHARLOTTE,Drama,autumninnewyork,903,charlotte-autumninnewyork
MONICA,Drama,confessionsofadangerousmind,28,monica-confessionsofadangerousmind
ANNOUNCER,Comedy,hudsuckerproxythe,39,announcer-hudsuckerproxythe
GALE,Horror,scream2,296,gale-scream2
BLANE,Drama,spartan,27,blane-spartan
MANTIS,Comedy,kungfupanda,47,mantis-kungfupanda
JERRY'S VOICE,Drama,jerrymaguire,124,jerry's_voice-jerrymaguire
A.D.,Drama,battleofshakerheightsthe,43,a.d.-battleofshakerheightsthe
MR. WILLIS,Horror,houseof1000corpses,106,mr._willis-houseof1000corpses
GIRL,Thriller,brokenembraces,22,girl-brokenembraces
LAMA SU,Fantasy,starwarsattackoftheclones,89,lama_su-starwarsattackoftheclones
BMAN,Action,feast,144,bman-feast
MR. GIVINGS,Romance,revolutionaryroad,30,mr._givings-revolutionaryroad
KARLA (cont'd),Horror,istillknowwhatyoudidlastsummer,45,karla_(cont'd)-istillknowwhatyoudidlastsummer
SARAH,Comedy,intolerablecruelty,92,sarah-intolerablecruelty
STEELE,Drama,castaway,23,steele-castaway
TRACY,Horror,roommatethe,42,tracy-roommatethe
OTTO,Sci-Fi,repoman,460,otto-repoman
WAITRESS,Fantasy,jacketthe,154,waitress-jacketthe
SHELLEY,Mystery,gothika,104,shelley-gothika
MISS SELLERS,Thriller,bodyofevidence,46,miss_sellers-bodyofevidence
TRAVIS (CONTD),Crime,taxidriver,35,travis_(contd)-taxidriver
ELLIS LOEW,Drama,blackdahliathe,97,ellis_loew-blackdahliathe
DUFFY,Drama,boondocksaints2allsaintsday,116,duffy-boondocksaints2allsaintsday
CHON,Romance,brokenembraces,102,chon-brokenembraces
DMITRI,Drama,lordofwar,53,dmitri-lordofwar
CAMEL,Romance,waterforelephants,35,camel-waterforelephants
WAITER,Comedy,inventionoflyingthe,38,waiter-inventionoflyingthe
QUANTZ,Adventure,tronlegacy,24,quantz-tronlegacy
MARANDINO,Drama,badcountry,94,marandino-badcountry
MULLR0Y,Adventure,piratesofthecaribbean,31,mullr0y-piratesofthecaribbean
REGGIE'S VOICE,Thriller,charade,46,reggie's_voice-charade
TIDWELL,Romance,jerrymaguire,432,tidwell-jerrymaguire
NURSE,Horror,perfectcreature,32,nurse-perfectcreature
NAIR,War,fromheretoeternity,40,nair-fromheretoeternity
BANK MANAGER,Drama,killingzoe,27,bank_manager-killingzoe
CATHERINE,Drama,storytelling,34,catherine-storytelling
NEFF'S VOICE,Drama,doubleindemnity,341,neff's_voice-doubleindemnity
AHMED,Thriller,babel,141,ahmed-babel
HAWKINS,Sci-Fi,predator,31,hawkins-predator
BENVOLIO,Crime,romeojuliet,121,benvolio-romeojuliet
STAGE AGENT,Western,tallinthesaddle,33,stage_agent-tallinthesaddle
BATMAN,Crime,darkknightrisesthe,143,batman-darkknightrisesthe
AXE,Drama,backdraft,178,axe-backdraft
SECURITY TFM,Drama,fightclub,28,security_tfm-fightclub
LORRAINE,Horror,insidious,95,lorraine-insidious
RAMON,Drama,musicoftheheart,46,ramon-musicoftheheart
GENERAL,War,battleofalgiersthe,32,general-battleofalgiersthe
(YELLING),Comedy,silverliningsplaybook,58,(yelling)-silverliningsplaybook
PASTOR KRAUSE,Crime,machinegunpreacher,26,pastor_krause-machinegunpreacher
DEATH,Comedy,monkeybone,83,death-monkeybone
LIONEL,Crime,confidence,24,lionel-confidence
ROSALIE,Fantasy,twilightnewmoon,45,rosalie-twilightnewmoon
REX,Fantasy,toystory,146,rex-toystory
TRACY,Thriller,hangoverthe,53,tracy-hangoverthe
INT. VALERIE'S FRONT ROOM. DAY,Thriller,shifty,30,int._valerie's_front_room._day-shifty
LUKE,Action,starwarstheempirestrikesback,398,luke-starwarstheempirestrikesback
MEKUM/VIDEO IMAGE,Action,soldier,33,mekum/video_image-soldier
MISS ADRIAN,Romance,evencowgirlsgettheblues,98,miss_adrian-evencowgirlsgettheblues
A AS JULIET,Comedy,shakespeareinlove,26,a_as_juliet-shakespeareinlove
POOMINA,Drama,cityofjoy,26,poomina-cityofjoy
MUDDY,Comedy,beavisandbuttheaddoamerica,85,muddy-beavisandbuttheaddoamerica
ELLE,Drama,candletowater,56,elle-candletowater
VUKOVICH,Romance,terminator,147,vukovich-terminator
DRUMGO,Horror,hannibal,30,drumgo-hannibal
SYKES,Crime,smokinaces,226,sykes-smokinaces
SAMANTHA,Thriller,obsessed,34,samantha-obsessed
WILKINSON,Comedy,replacementsthe,25,wilkinson-replacementsthe
DANNY,Comedy,oceanstwelve,458,danny-oceanstwelve
GEORGE,Comedy,pleasantville,134,george-pleasantville
FRED (cont'd),Drama,insomnia,29,fred_(cont'd)-insomnia
JACK,Drama,boogienights,645,jack-boogienights
DANIELS,Action,mummythe,55,daniels-mummythe
SARAH,Thriller,jacobsladder,43,sarah-jacobsladder
JACKIE KENNEDY,Mystery,jfk,109,jackie_kennedy-jfk
DENISE,Comedy,stuntmanthe,76,denise-stuntmanthe
JUAN,Mystery,tallinthesaddle,43,juan-tallinthesaddle
KAI,Animation,frozendisney,32,kai-frozendisney
STRANGER,Crime,stingthe,63,stranger-stingthe
NILSEN,Thriller,basicinstinct,29,nilsen-basicinstinct
AGENT HADLEY,Crime,crimespree,215,agent_hadley-crimespree
DOC RIDING,Mystery,tallinthesaddle,52,doc_riding-tallinthesaddle
JACK,Drama,42,230,jack-42
AUNT BARBARA,Thriller,bluevelvet,38,aunt_barbara-bluevelvet
(OVER RADIO),Crime,darkknightrisesthe,29,(over_radio)-darkknightrisesthe
DREW,Comedy,newyorkminute,765,drew-newyorkminute
MORRISON,Sci-Fi,terminatorsalvation,40,morrison-terminatorsalvation
MIKE,Horror,jaws2,186,mike-jaws2
"O'Ryan lunges forward like an animal, throwing his cuffed",Drama,suspectzero,22,"o'ryan_lunges_forward_like_an_animal,_throwing_his_cuffed-suspectzero"
JIGSAW,Mystery,saw,166,jigsaw-saw
DIETRICH,Thriller,faceoff,60,dietrich-faceoff
BETH,Comedy,celestejesseforever,83,beth-celestejesseforever
DAVID,Fantasy,fifthelementthe,39,david-fifthelementthe
AMBER,Comedy,dropdeadgorgeous,386,amber-dropdeadgorgeous
DOLPHINE,Thriller,blackdahliathe,45,dolphine-blackdahliathe
GRACCHUS,Drama,gladiator,135,gracchus-gladiator
FATHER,Romance,frankenstein,59,father-frankenstein
JACK,Thriller,afterlife,81,jack-afterlife
CRAWFORD,Horror,silenceofthelambs,536,crawford-silenceofthelambs
MILTON,Drama,simone,52,milton-simone
LARKIN,Horror,crowsalvationthe,47,larkin-crowsalvationthe
IKE (cont'd),Romance,runawaybride,128,ike_(cont'd)-runawaybride
SOMMERFIELD,Horror,bladetrinity,100,sommerfield-bladetrinity
LOC RHOD,Comedy,fifthelementthe,257,loc_rhod-fifthelementthe
ARAGORN,Action,lordoftheringsfellowshipoftheringthe,142,aragorn-lordoftheringsfellowshipoftheringthe
BEGIN TITLES.,Thriller,suspectzero,21,begin_titles.-suspectzero
MANTIS,Family,kungfupanda,47,mantis-kungfupanda
CHOI YAN LEE,Crime,onlygodforgives,23,choi_yan_lee-onlygodforgives
OTIS,Horror,houseof1000corpses,235,otis-houseof1000corpses
MATER,Action,cars2,830,mater-cars2
AGENT,Thriller,spartan,26,agent-spartan
DAVE,Drama,littleathens,83,dave-littleathens
BUMBLEBEE,Family,transformersthemovie,21,bumblebee-transformersthemovie
LAURA,Crime,fatalinstinct,289,laura-fatalinstinct
LUDLOW (cont'd),Thriller,jurassicparkthelostworld,61,ludlow_(cont'd)-jurassicparkthelostworld
ASSUNTA,Drama,musicoftheheart,78,assunta-musicoftheheart
BOB ANDERS,Thriller,argo,27,bob_anders-argo
VULTAN,Fantasy,flashgordon,75,vultan-flashgordon
RANDY,Romance,airplane,126,randy-airplane
BANE,Action,darkknightrisesthe,364,bane-darkknightrisesthe
VIRGIL,Action,tombstone,138,virgil-tombstone
MOTHER,Drama,pianistthe,70,mother-pianistthe
- - P L E A S U R E PARTNER SELECTED; PROGRAM COMMENCING...,Thriller,islandthe,32,-_-_p_l_e_a_s_u_r_e_partner_selected;_program_commencing...-islandthe
DOUG,Thriller,jacobsladder,35,doug-jacobsladder
AVA,Thriller,lordofwar,181,ava-lordofwar
SOLDIER,Action,getawaythe,31,soldier-getawaythe
DEANNA,Sci-Fi,startreknemesis,125,deanna-startreknemesis
RAQUEL,Horror,losthighway,22,raquel-losthighway
COWBOY (cont'd),Thriller,mulhollanddrive,28,cowboy_(cont'd)-mulhollanddrive
(OC),Drama,badlieutenant,30,(oc)-badlieutenant
MOTHER,Family,itsawonderfullife,31,mother-itsawonderfullife
BARTHA,Drama,sweetsmellofsuccess,60,bartha-sweetsmellofsuccess
CHOIR TEACHER,Comedy,americanpie,25,choir_teacher-americanpie
MANAGER,Drama,americangraffiti,73,manager-americangraffiti
ISHERWOOD,Action,rockthe,31,isherwood-rockthe
DRUNK,Romance,birdsthe,33,drunk-birdsthe
MARIA,Drama,philadelphia,25,maria-philadelphia
HANS,Comedy,frozendisney,226,hans-frozendisney
HAHN,Drama,changeling,153,hahn-changeling
O-REN (JAPANESE),Thriller,killbillvolume12,64,o-ren_(japanese)-killbillvolume12
DOM PAULO,Comedy,beinghuman,261,dom_paulo-beinghuman
DEUTSCH,Thriller,bartonfink,71,deutsch-bartonfink
HENRY,Thriller,stuntmanthe,80,henry-stuntmanthe
PATRICK,Romance,faultinourstarsthe,37,patrick-faultinourstarsthe
FATHER,Action,stuntmanthe,26,father-stuntmanthe
ROBBIE,Adventure,waroftheworlds,202,robbie-waroftheworlds
DREW (cont'D),Romance,meetjoeblack,22,drew_(cont'd)-meetjoeblack
GRACE,Action,avatar,434,grace-avatar
LAMAR,Drama,silenceofthelambs,23,lamar-silenceofthelambs
NEWT,Horror,aliens,140,newt-aliens
BANKY,Comedy,chasingamy,779,banky-chasingamy
JACK,Drama,revolutionaryroad,55,jack-revolutionaryroad
DOCTOR GILCHRIST,Comedy,arsenicandoldlace,29,doctor_gilchrist-arsenicandoldlace
MOTHER,Biography,pianistthe,70,mother-pianistthe
MAN,Drama,anonymous,33,man-anonymous
BERNSTEIN,Drama,allthepresidentsmen,800,bernstein-allthepresidentsmen
TAVIS SMILEY,Comedy,bamboozled,45,tavis_smiley-bamboozled
VINCE,Musical,sisteract,231,vince-sisteract
LENORE,Comedy,forrestgump,30,lenore-forrestgump
FRICK,Action,batman2,29,frick-batman2
POOCH,Action,losersthe,252,pooch-losersthe
DOC,Western,baddayatblackrock,370,doc-baddayatblackrock
GENERAL GREY,Sci-Fi,independenceday,212,general_grey-independenceday
WYMAN,Comedy,smokinaces,56,wyman-smokinaces
WILLIAM,Drama,braveheart,144,william-braveheart
PENNY LANE (cont'd),Comedy,almostfamous,24,penny_lane_(cont'd)-almostfamous
HELEN,Sci-Fi,vforvendetta,253,helen-vforvendetta
KAUFMAN,Horror,landofthedead,170,kaufman-landofthedead
RAY,Drama,fieldofdreams,448,ray-fieldofdreams
YOUNG MAN,Mystery,biglebowskithe,60,young_man-biglebowskithe
HILDY,Romance,hisgirlfriday,1610,hildy-hisgirlfriday
SHELLEY,Thriller,gothika,104,shelley-gothika
LEE (cont'd),Crime,blackdahliathe,32,lee_(cont'd)-blackdahliathe
COUNT DOOKU,Sci-Fi,starwarsattackoftheclones,110,count_dooku-starwarsattackoftheclones
VERONICA,Mystery,blackswan,38,veronica-blackswan
MOTHER,Drama,brokenembraces,47,mother-brokenembraces
DR. KEEGAN,Romance,marty,61,dr._keegan-marty
BOEMAN,Action,jasonx,255,boeman-jasonx
VOICE,Crime,deepcover,25,voice-deepcover
AUTUMN,Drama,programthe,187,autumn-programthe
DELONGPRE,Thriller,jasonx,286,delongpre-jasonx
ALGREN,Thriller,48hrs,28,algren-48hrs
HOST,Drama,edwood,26,host-edwood
CHANI,Sci-Fi,dune,37,chani-dune
MR. STERNER,Crime,serialmom,50,mr._sterner-serialmom
CHRISSY,Drama,moonstruck,42,chrissy-moonstruck
SMITH,Comedy,mrblandingsbuildshisdreamhouse,93,smith-mrblandingsbuildshisdreamhouse
REPORTER,Romance,wildatheart,26,reporter-wildatheart
GORGEGEORGE,Comedy,snatch,46,gorgegeorge-snatch
SECRETARY,Thriller,crowsalvationthe,48,secretary-crowsalvationthe
TINA,Adventure,jaws2,62,tina-jaws2
JOHN,Adventure,whitesquall,216,john-whitesquall
ROSALYN ROSENFELD,Crime,americanhustle,447,rosalyn_rosenfeld-americanhustle
CLARENCE,Fantasy,itsawonderfullife,269,clarence-itsawonderfullife
VOICE-OVER,Romance,eternalsunshineofthespotlessmind,172,voice-over-eternalsunshineofthespotlessmind
LENNY MEYER,Thriller,pi,251,lenny_meyer-pi
GRACE,Drama,horsewhispererthe,451,grace-horsewhispererthe
LYOSHA,Thriller,mutewitness,53,lyosha-mutewitness
MARCO,Crime,colombiana,257,marco-colombiana
ASHLY glances to the grave and sees LINDA's necklace on,Fantasy,evildead,38,ashly_glances_to_the_grave_and_sees_linda's_necklace_on-evildead
SYDNEY,Romance,zerophilia,373,sydney-zerophilia
PHARMACIST,Thriller,signs,24,pharmacist-signs
FRANK,Drama,asgoodasitgets,138,frank-asgoodasitgets
SWANN,Fantasy,lordofillusions,230,swann-lordofillusions
CHRIS,Thriller,walkingtall,394,chris-walkingtall
SOLOMON,Mystery,redridinghood,79,solomon-redridinghood
CHESWICK,Drama,oneflewoverthecuckoosnest,81,cheswick-oneflewoverthecuckoosnest
HOSTESS,Drama,bachelorpartythe,21,hostess-bachelorpartythe
KEITH,Crime,getcarter,90,keith-getcarter
TEE PEE,Drama,jerrymaguire,39,tee_pee-jerrymaguire
MARGARET,Drama,senseandsensibility,122,margaret-senseandsensibility
JUNO,Drama,juno,1208,juno-juno
ZAINAB,Drama,visitorthe,278,zainab-visitorthe
WOODY (VOICE BOX),Fantasy,toystory,43,woody_(voice_box)-toystory
B&B,Animation,beavisandbuttheaddoamerica,60,b&b-beavisandbuttheaddoamerica
AARON,Comedy,broadcastnews,856,aaron-broadcastnews
TRUMAN,Drama,trumanshowthe,794,truman-trumanshowthe
KENNY,Musical,detroitrockcity,83,kenny-detroitrockcity
FILLMORE,Action,cars2,22,fillmore-cars2
ELINOR,Comedy,senseandsensibility,693,elinor-senseandsensibility
MOTHER,Romance,barrylyndon,90,mother-barrylyndon
COP,Action,batman2,24,cop-batman2
DAD,Drama,warhorse,94,dad-warhorse
LAMAR,Horror,silenceofthelambs,23,lamar-silenceofthelambs
ARCH,Crime,fatalinstinct,84,arch-fatalinstinct
SOL,Romance,amour,76,sol-amour
PETE,Mystery,lonestar,44,pete-lonestar
HOLLOWAY,Sci-Fi,prometheus,359,holloway-prometheus
AMADO,Mystery,lonestar,63,amado-lonestar
LAZARUS,Drama,blacksnakemoan,1055,lazarus-blacksnakemoan
SLIDER,Drama,topgun,23,slider-topgun
JAG LAWYER,Mystery,basic,23,jag_lawyer-basic
AIDE,Adventure,airforceone,36,aide-airforceone
VITTORIA (cont'd),Mystery,angelsdemons,43,vittoria_(cont'd)-angelsdemons
KNIGHT,Drama,seventhsealthe,324,knight-seventhsealthe
MILLER,Thriller,eventhorizon,773,miller-eventhorizon
MYSTERY MAN,Crime,nickoftime,56,mystery_man-nickoftime
KAREN,Drama,punchdrunklove,28,karen-punchdrunklove
PINA,Thriller,brokenembraces,105,pina-brokenembraces
MR. FELDMAN,Comedy,edwood,41,mr._feldman-edwood
