char,genre,title,line_count,pkey
RED DOG,Drama,almostfamous,22,red_dog-almostfamous
RED DOG,Romance,almostfamous,22,red_dog-almostfamous
KING,War,platoon,184,king-platoon
LARRY,Action,ronin,135,larry-ronin
FISTE,Action,heavymetal,69,fiste-heavymetal
BURT GRUSINSKY,Drama,weownthenight,262,burt_grusinsky-weownthenight
FISTE,Sci-Fi,heavymetal,69,fiste-heavymetal
MAXINE,Drama,ghostworld,26,maxine-ghostworld
BOOKER D,Drama,wrestlerthe,24,booker_d-wrestlerthe
JENNIFER,Comedy,buffythevampireslayer,91,jennifer-buffythevampireslayer
WALTER,Drama,changeling,49,walter-changeling
PAUL,Comedy,500daysofsummer,144,paul-500daysofsummer
BOSIE,Romance,coldmountain,25,bosie-coldmountain
SEED.,Adventure,intothewild,21,seed.-intothewild
CONNOR,Drama,boondocksaints2allsaintsday,293,connor-boondocksaints2allsaintsday
CRUZ,Thriller,entrapment,72,cruz-entrapment
SINCLAIR,Adventure,tronlegacy,190,sinclair-tronlegacy
MILLER,Crime,faceoff,26,miller-faceoff
COMA,Action,pearlharbor,43,coma-pearlharbor
CHRISTMAS,Adventure,worldisnotenoughthe,152,christmas-worldisnotenoughthe
FRANK,Comedy,megamind,53,frank-megamind
AUDREY,Thriller,legion,119,audrey-legion
LISA,Comedy,fasttimesatridgemonthigh,34,lisa-fasttimesatridgemonthigh
MAN,Mystery,biglebowskithe,29,man-biglebowskithe
NANCY,Drama,silverliningsplaybook,29,nancy-silverliningsplaybook
TOM,Horror,scream3,73,tom-scream3
AIDE,Action,airforceone,36,aide-airforceone
STEVE,Mystery,hangoverthe,31,steve-hangoverthe
JENNIFER,Thriller,scream3,113,jennifer-scream3
REV. SULLIVAN,Drama,walktoremembera,205,rev._sullivan-walktoremembera
MAN,Action,rambofirstbloodiithemission,44,man-rambofirstbloodiithemission
CHRISTOPHER,Comedy,30minutesorless,32,christopher-30minutesorless
TAKAGI,Action,diehard,69,takagi-diehard
ELLIE (cont'd),Thriller,insomnia,102,ellie_(cont'd)-insomnia
TALIA,Action,darkknightrisesthe,64,talia-darkknightrisesthe
BILL,Comedy,henryfool,27,bill-henryfool
DJ,Comedy,forrestgump,28,dj-forrestgump
DOC,Drama,magnolia,31,doc-magnolia
PREW'S VOICE,Drama,fromheretoeternity,42,prew's_voice-fromheretoeternity
GUARD,Thriller,midnightexpress,26,guard-midnightexpress
COLONEL AL-GHAZI,Action,kingdomthe,516,colonel_al-ghazi-kingdomthe
QUINCEY,Thriller,saltonseathe,21,quincey-saltonseathe
INIGO,Family,princessbridethe,440,inigo-princessbridethe
HAMMOND,Action,jurassicparkthelostworld,106,hammond-jurassicparkthelostworld
BRYAN,Drama,lifeasahouse,93,bryan-lifeasahouse
COUNTESS,War,barrylyndon,190,countess-barrylyndon
BELLE,Horror,feast,58,belle-feast
VOICE,Thriller,super8,28,voice-super8
HANDS,Comedy,snatch,259,hands-snatch
KAREN,Romance,nottinghill,33,karen-nottinghill
ELROND,Action,lordoftheringsfellowshipoftheringthe,106,elrond-lordoftheringsfellowshipoftheringthe
SUSAN,War,patriotthe,33,susan-patriotthe
LISA,Drama,manonfire,175,lisa-manonfire
RUBY,Drama,jfk,51,ruby-jfk
JAMES LEER,Drama,wonderboys,489,james_leer-wonderboys
SALESWOMAN # 1,Romance,prettywomanfinalscript,25,saleswoman_#_1-prettywomanfinalscript
FOREIGN EDITOR,Drama,allthepresidentsmen,41,foreign_editor-allthepresidentsmen
JULIE,Romance,17again,125,julie-17again
DISSOLVE TO:,Drama,horsewhispererthe,23,dissolve_to:-horsewhispererthe
HEDGES,Thriller,bladetrinity,37,hedges-bladetrinity
BOB,Romance,runawaybride,142,bob-runawaybride
ENGINE VOICE,Animation,cars2,60,engine_voice-cars2
JONNO,Comedy,kingofcomedythe,35,jonno-kingofcomedythe
OFFICER TURLINGTON,Horror,gothika,60,officer_turlington-gothika
CORTEZ,Action,gijane,50,cortez-gijane
JEANNIE,Sci-Fi,next,23,jeannie-next
CASANOVA,Fantasy,mysterymen,292,casanova-mysterymen
WOMAN,Drama,wrestlerthe,21,woman-wrestlerthe
ST. JOHN,Drama,powerofonethe,129,st._john-powerofonethe
ECKER,Drama,thirteendays,78,ecker-thirteendays
DANIELS,Thriller,takingofpelhamonetwothreethe,28,daniels-takingofpelhamonetwothreethe
HAL,Action,thelmalouise,290,hal-thelmalouise
BLAKE,Action,darkknightrisesthe,417,blake-darkknightrisesthe
STAGE AGENT,Mystery,tallinthesaddle,33,stage_agent-tallinthesaddle
MIRANDA (VO),Action,rushhour,35,miranda_(vo)-rushhour
CREIGHTON,Drama,manwhowasnttherethe,151,creighton-manwhowasnttherethe
BULL,Comedy,monkeybone,33,bull-monkeybone
SELENA,Adventure,supergirl,160,selena-supergirl
BUD,Thriller,abyssthe,486,bud-abyssthe
VADIM NEZHINSKI,Thriller,weownthenight,98,vadim_nezhinski-weownthenight
