Char,Genre,Title,line_count
SALLY,Mystery,blackdahliathe,41
RUSS MILLARD (cont'd),Mystery,blackdahliathe,22
JOHNNY,Mystery,blackdahliathe,42
OLD MAN,Mystery,blackdahliathe,22
DOLPHINE,Mystery,blackdahliathe,45
ELIZABETH SHORT,Mystery,blackdahliathe,27
CLEORT,Mystery,blackdahliathe,77
CLEORT (cont'd),Mystery,blackdahliathe,39
RUSS MILLARD,Mystery,blackdahliathe,233
EMMETT SPRAGUE,Mystery,blackdahliathe,84
JANE CHAMBERS (cont'd),Mystery,blackdahliathe,21
JANE CHAMBERS,Mystery,blackdahliathe,95
RAMONA (cont'd),Mystery,blackdahliathe,30
RAMONA,Mystery,blackdahliathe,47
LEE,Mystery,blackdahliathe,255
KAY,Mystery,blackdahliathe,179
KAY (cont'd),Mystery,blackdahliathe,24
BUCKY,Mystery,blackdahliathe,902
BUCKY (cont'd),Mystery,blackdahliathe,111
MADELEINE,Mystery,blackdahliathe,207
VOICE OVER (cont'd),Mystery,blackdahliathe,156
VOICE OVER,Mystery,blackdahliathe,315
LAKE.,Mystery,blackswan,23
BALLET MISTRESS,Mystery,blackswan,25
OLDER NURSE,Mystery,blackswan,29
VERONICA,Mystery,blackswan,38
ANDREW,Mystery,blackswan,31
"TV. An unfamiliar, lonely noise.",Mystery,blackswan,26
BETH,Mystery,blackswan,74
ERICA,Mystery,blackswan,357
DAVID,Mystery,blackswan,40
LILY,Mystery,blackswan,393
STAGE MANAGER,Mystery,blackswan,133
LEROY,Mystery,blackswan,652
NINA,Mystery,blackswan,695
MRS. BEAUMONT,Mystery,bluevelvet,64
DR. GYNDE,Mystery,bluevelvet,23
BEN,Mystery,bluevelvet,35
YELLOW MAN,Mystery,bluevelvet,28
MIKE,Mystery,bluevelvet,62
MRS. WILLIAMS,Mystery,bluevelvet,63
DOROTHY,Mystery,bluevelvet,454
FRANK,Mystery,bluevelvet,220
DETECTIVE WILLIAMS,Mystery,bluevelvet,145
SANDY,Mystery,bluevelvet,458
JEFFREY,Mystery,bluevelvet,1124
AUNT BARBARA,Mystery,bluevelvet,38
DISSOLVE TO:,Mystery,bluevelvet,34
GIANCARLO,Mystery,bourneidentitythe,64
THE MAN,Mystery,bourneidentitythe,51
SECURITY CHIEF,Mystery,bourneidentitythe,23
OPERATOR/PHONE,Mystery,bourneidentitythe,21
MANAGER/PHONE,Mystery,bourneidentitythe,35
MRS. DOYLE,Mystery,bourneidentitythe,25
RAWLINS,Mystery,bourneidentitythe,50
MORGUE BOSS,Mystery,bourneidentitythe,37
ZORN,Mystery,bourneidentitythe,46
WOMBOSI,Mystery,bourneidentitythe,168
CLERK,Mystery,bourneidentitythe,32
PROFESSOR,Mystery,bourneidentitythe,34
CONKLIN,Mystery,bourneidentitythe,224
MARSHALL,Mystery,bourneidentitythe,42
ABBOTT,Mystery,bourneidentitythe,91
BOURNE,Mystery,bourneidentitythe,564
MARIE,Mystery,bourneidentitythe,410
FEMALE 911 OPERATOR,Mystery,buried,35
SPECIAL AGENT HARRIS,Mystery,buried,39
DONNA,Mystery,buried,41
REBECCA,Mystery,buried,86
MARYANNE,Mystery,buried,28
ALAN DAVENPORT,Mystery,buried,152
JABIR,Mystery,buried,157
(BEAT),Mystery,buried,22
LINDA,Mystery,buried,52
PAUL,Mystery,buried,1147
DAN,Mystery,buried,318
DOUG,Mystery,case39,155
CORONER,Mystery,case39,22
NANCY,Mystery,case39,44
INTERVIEWER,Mystery,case39,51
EDWARD,Mystery,case39,94
MARGARET,Mystery,case39,73
BARRON,Mystery,case39,177
WAYNE,Mystery,case39,76
EMILY,Mystery,case39,810
LUCY,Mystery,case39,321
CHAD,Mystery,cellular,27
BRITISH ASSHOLE (VO),Mystery,cellular,23
MARILYN,Mystery,cellular,27
MAIL CLERK,Mystery,cellular,24
CRAIG,Mystery,cellular,91
JESSICA (VO),Mystery,cellular,237
DETECTIVE TOMLIN,Mystery,cellular,35
SIMON COWELL,Mystery,cellular,30
TELEMARKETER,Mystery,cellular,21
RICKY,Mystery,cellular,28
RYAN (VO),Mystery,cellular,59
MATCH CUT TO:,Mystery,cellular,35
TOMLIN,Mystery,cellular,83
HODGES,Mystery,cellular,39
ELLIS,Mystery,cellular,48
CUT BACK TO:,Mystery,cellular,37
GREEK,Mystery,cellular,60
GREER,Mystery,cellular,250
MOONEY,Mystery,cellular,253
CHLOE,Mystery,cellular,60
JESSICA,Mystery,cellular,423
RYAN,Mystery,cellular,929
POLICE DISPATCHER (on phone),Mystery,changeling,28
COOK,Mystery,changeling,21
MRS. RILEY,Mystery,changeling,23
DR. TARR,Mystery,changeling,130
DR. TARR (Cont'd),Mystery,changeling,22
DR. MONTGOMERY,Mystery,changeling,28
MRS. FOX,Mystery,changeling,25
ADMINISTRATOR,Mystery,changeling,22
SANFORD,Mystery,changeling,114
STEELE,Mystery,changeling,143
CHRISTINE (Cont'd),Mystery,changeling,33
NURSE,Mystery,changeling,64
CAROL DEXTER,Mystery,changeling,108
CRYER,Mystery,changeling,53
BRIEGLEB,Mystery,changeling,98
MAN,Mystery,changeling,23
REPORTER,Mystery,changeling,34
JONES,Mystery,changeling,398
DAVIS,Mystery,changeling,140
"""WALTER""",Mystery,changeling,64
REV. BRIEGLEB (Cont'd),Mystery,changeling,40
REV. BRIEGLEB,Mystery,changeling,234
THORPE,Mystery,changeling,65
THORPE (Cont'd),Mystery,changeling,24
JUDGE,Mystery,changeling,45
CHIEF DAVIS,Mystery,changeling,52
HAHN,Mystery,changeling,153
MR. HARRIS,Mystery,changeling,56
IRWIN S. COBB,Mystery,changeling,21
MRS. CLAY,Mystery,changeling,21
GORDON,Mystery,changeling,185
WALTER,Mystery,changeling,49
DAVID,Mystery,changeling,82
YBARRA,Mystery,changeling,252
CHRISTINE,Mystery,changeling,960
BARTHOLOMEW'S VOICE,Mystery,charade,22
EMCEE,Mystery,charade,28
PETER,Mystery,charade,267
SCOBIE,Mystery,charade,98
DYLE,Mystery,charade,398
GIDEON,Mystery,charade,86
BRITISH DELEGATE,Mystery,charade,23
TEX,Mystery,charade,184
SYLVIE,Mystery,charade,89
JEAN-LOUIS,Mystery,charade,67
FELIX,Mystery,charade,69
BARTHOLOMEW,Mystery,charade,320
"""BARTHOLOMEW""",Mystery,charade,36
REGGIE'S VOICE,Mystery,charade,46
GRANDPIERRE,Mystery,charade,175
ADAM,Mystery,charade,279
REGGIE,Mystery,charade,1475
CRUIKSHANK,Mystery,charade,54
MRS. MULWRAY,Mystery,chinatown,29
BAGBY,Mystery,chinatown,27
BARNEY,Mystery,chinatown,27
MORTY,Mystery,chinatown,35
IDA'S VOICE,Mystery,chinatown,23
SECRETARY,Mystery,chinatown,36
YELBURTON,Mystery,chinatown,79
PILOT,Mystery,chinatown,49
RED FACED FARMER,Mystery,chinatown,26
PALMER,Mystery,chinatown,30
EMMA,Mystery,chinatown,24
CURLY,Mystery,chinatown,67
CROSS,Mystery,chinatown,249
EVELYN,Mystery,chinatown,539
WALSH,Mystery,chinatown,49
GITTES,Mystery,chinatown,1745
ESCOBAR,Mystery,chinatown,242
NARRATOR,Mystery,citizenkane,171
RAWLSTON,Mystery,citizenkane,76
THE CAPTAIN,Mystery,citizenkane,30
BERTHA,Mystery,citizenkane,28
KANE SR.,Mystery,citizenkane,49
MRS. KANE,Mystery,citizenkane,62
THATCHER,Mystery,citizenkane,152
CITY EDITOR,Mystery,citizenkane,48
CARTER,Mystery,citizenkane,83
THE PRESIDENT,Mystery,citizenkane,31
REILLY,Mystery,citizenkane,54
ROGERS,Mystery,citizenkane,124
EMILY,Mystery,citizenkane,191
BERNSTEIN,Mystery,citizenkane,483
LELAND,Mystery,citizenkane,515
KANE'S VOICE,Mystery,citizenkane,23
SUSAN,Mystery,citizenkane,454
KANE,Mystery,citizenkane,1381
DISSOLVE OUT:,Mystery,citizenkane,28
PHOTOGRAPHER,Mystery,citizenkane,26
THIRD NEWSPAPERMAN,Mystery,citizenkane,31
THOMPSON,Mystery,citizenkane,212
DISSOLVE:,Mystery,citizenkane,82
RAYMOND,Mystery,citizenkane,105
MICHELLE,Mystery,colorofnight,28
BOB,Mystery,colorofnight,163
CASEY,Mystery,colorofnight,116
CLARK,Mystery,colorofnight,162
BUCK,Mystery,colorofnight,172
SONDRA,Mystery,colorofnight,294
LARRY,Mystery,colorofnight,39
ANDERSON,Mystery,colorofnight,63
EDITH,Mystery,colorofnight,49
RICHIE,Mystery,colorofnight,27
HECTOR,Mystery,colorofnight,258
DALE,Mystery,colorofnight,98
