Char,Genre,Title,line_count
"""JOHN CUSACK""",Family,megamind,120
"""PAT MORITA""",Family,megamind,100
HAL,Family,megamind,216
VINNIE,Family,megamind,26
WAYNE SCOTT,Family,megamind,89
PLATO,Family,megamind,135
FRANK,Family,megamind,53
UBERMAN,Family,megamind,34
TITAN,Family,megamind,314
BRAD HELMS,Family,megamind,81
ROXANNE,Family,megamind,442
DA VINCI,Family,megamind,36
MASTER MIND,Family,megamind,840
DANNY,Family,mygirl,39
PHIL,Family,mygirl,57
NURSE RANDALL,Family,mygirl,23
THOMAS J,Family,mygirl,256
MINISTER,Family,mygirl,28
SHELLY,Family,mygirl,506
HARRY,Family,mygirl,460
MRS. SENNETT,Family,mygirl,29
JUSTIN,Family,mygirl,25
MR. BIXLER,Family,mygirl,111
VADA,Family,mygirl,667
VADA'S THOUGHTS,Family,mygirl,41
DESK CLERK,Family,newyorkminute,38
BOBO,Family,newyorkminute,22
SPEEDY,Family,newyorkminute,30
CANADIAN REPRESENTATIVE,Family,newyorkminute,22
ROGER,Family,newyorkminute,50
MORTY,Family,newyorkminute,37
MRS. LO BIANCHO,Family,newyorkminute,91
WILLIAMSON,Family,newyorkminute,40
BENNIE,Family,newyorkminute,61
HOGAN,Family,newyorkminute,73
PROFESSOR SPAULDING,Family,newyorkminute,50
JIM,Family,newyorkminute,24
WARREN,Family,newyorkminute,132
QUINN,Family,newyorkminute,91
(CONTINUED),Family,newyorkminute,176
PARKER,Family,newyorkminute,759
DREW,Family,newyorkminute,765
CHARLEY,Family,newyorkminute,87
CHARLES,Family,pacifierthe,32
HELGA,Family,pacifierthe,36
DIRECTOR,Family,pacifierthe,21
ILL,Family,pacifierthe,21
MURNEY,Family,pacifierthe,116
BILL,Family,pacifierthe,107
TODD,Family,pacifierthe,87
CUTE COP,Family,pacifierthe,21
PRINCIPAL CLAIRE,Family,pacifierthe,111
ZOE,Family,pacifierthe,174
LULU,Family,pacifierthe,128
JULIE,Family,pacifierthe,119
SHANE,Family,pacifierthe,886
VIZZINI,Family,princessbridethe,311
MAN IN BLACK,Family,princessbridethe,271
ALBINO,Family,princessbridethe,29
MIRACLE MAX,Family,princessbridethe,119
VALERIE,Family,princessbridethe,43
YELLIN,Family,princessbridethe,43
RUGEN,Family,princessbridethe,104
BUTTERCUP,Family,princessbridethe,231
HUMPERDINCK,Family,princessbridethe,244
FEZZIK,Family,princessbridethe,210
INIGO,Family,princessbridethe,440
WESTLEY,Family,princessbridethe,309
THE KID,Family,princessbridethe,119
GRANDFATHER,Family,princessbridethe,231
LEAGUER PUNK 1,Family,sandlotkidsthe,37
DENUNEZ,Family,sandlotkidsthe,52
TIMMY,Family,sandlotkidsthe,47
REPEAT,Family,sandlotkidsthe,36
YEAH-YEAH,Family,sandlotkidsthe,111
HAM,Family,sandlotkidsthe,160
BERTRAM,Family,sandlotkidsthe,55
GANG,Family,sandlotkidsthe,46
THE BABE,Family,sandlotkidsthe,55
SQUINTS,Family,sandlotkidsthe,269
THE BEAST,Family,sandlotkidsthe,22
THE GANG,Family,sandlotkidsthe,43
BENNY,Family,sandlotkidsthe,324
MR. MERTLE,Family,sandlotkidsthe,30
SCOTTY,Family,sandlotkidsthe,319
BILL,Family,sandlotkidsthe,56
(BEAT),Family,sandlotkidsthe,196
MOM,Family,sandlotkidsthe,67
NARRATOR,Family,sandlotkidsthe,251
FARQUAAD,Family,shrek,70
FIONA,Family,shrek,150
SHREK,Family,shrek,326
DONKEY,Family,shrek,286
BUSINESSMAN,Family,threemenandababy,35
MANAGER,Family,threemenandababy,31
WOMAN #2,Family,threemenandababy,22
WOMAN #1,Family,threemenandababy,34
STORE CLERK,Family,threemenandababy,42
PUNK #1,Family,threemenandababy,94
COP #2,Family,threemenandababy,22
COP #1,Family,threemenandababy,27
AGENT #1,Family,threemenandababy,105
PUNK,Family,threemenandababy,24
MARGIE,Family,threemenandababy,26
MRS. BRETSAWS,Family,threemenandababy,52
PAUL,Family,threemenandababy,64
BRUNETTE,Family,threemenandababy,26
CARL,Family,threemenandababy,63
CHRISTIE,Family,threemenandababy,31
JAY,Family,threemenandababy,28
JERRY,Family,threemenandababy,52
Pthe CORK.,Family,threemenandababy,32
GUARD,Family,threemenandababy,37
NATALIE,Family,threemenandababy,64
GRATON,Family,threemenandababy,172
YOUNG MAN,Family,threemenandababy,23
PETER,Family,threemenandababy,1623
JACK,Family,threemenandababy,1031
MICHAEL,Family,threemenandababy,1025
SYLVIA,Family,threemenandababy,160
TV ANNOUNCER,Family,toystory,21
HANNAH,Family,toystory,56
WOODY (VOICE BOX),Family,toystory,43
SID,Family,toystory,167
SLINKY,Family,toystory,85
MRS. DAVIS,Family,toystory,79
BO PEEP,Family,toystory,55
REX,Family,toystory,146
HAMM,Family,toystory,87
MR. POTATO HEAD,Family,toystory,149
SARGENT,Family,toystory,92
BUZZ,Family,toystory,438
WOODY,Family,toystory,862
ANDY,Family,toystory,99
PRIME,Family,transformersthemovie,35
MEGATRON,Family,transformersthemovie,106
STARSCREAM,Family,transformersthemovie,64
BLASTER,Family,transformersthemovie,44
BUMBLEBEE,Family,transformersthemovie,21
BLURR,Family,transformersthemovie,21
ULTRA MAGNUS,Family,transformersthemovie,119
PERCEPTOR,Family,transformersthemovie,57
UNICRON,Family,transformersthemovie,79
GRIMLOCK,Family,transformersthemovie,75
ARCEE,Family,transformersthemovie,54
ON DANIEL,Family,transformersthemovie,29
DANIEL,Family,transformersthemovie,107
SPIKE,Family,transformersthemovie,31
WRECK-GAR,Family,transformersthemovie,81
ANOTHER ANGLE,Family,transformersthemovie,30
OPTIMUS PRIME,Family,transformersthemovie,49
GALVATRON,Family,transformersthemovie,114
HOT ROD,Family,transformersthemovie,247
SPRINGER,Family,transformersthemovie,102
(CONTINUED),Family,transformersthemovie,140
JAZZ,Family,transformersthemovie,25
KUP,Family,transformersthemovie,206
NEWSREEL ANNOUNCER,Family,up,80
YOUNG ELLIE,Family,up,99
CRUCTION FOREMAN TOM,Family,up,23
VOICE,Family,up,22
BETA,Family,up,37
MUNTZ,Family,up,184
ALPHA,Family,up,82
GAMMA,Family,up,37
CAMP MASTER STRAUCH,Family,up,24
DUG,Family,up,140
RUSSELL,Family,up,572
CARL,Family,up,632
MISS GULCH,Family,wizardofozthe,35
MUNCHKINS,Family,wizardofozthe,47
MAYOR,Family,wizardofozthe,25
DOORMAN,Family,wizardofozthe,29
CABBY,Family,wizardofozthe,27
GUARD,Family,wizardofozthe,46
WITCH,Family,wizardofozthe,179
ALL,Family,wizardofozthe,66
OZ'S VOICE,Family,wizardofozthe,113
WIZARD,Family,wizardofozthe,187
SCARECROW,Family,wizardofozthe,396
TIN MAN,Family,wizardofozthe,280
LION,Family,wizardofozthe,328
GLINDA,Family,wizardofozthe,125
LAP DISSOLVE TO:,Family,wizardofozthe,35
HUNK,Family,wizardofozthe,30
HICKORY,Family,wizardofozthe,51
ZEKE,Family,wizardofozthe,33
PROFESSOR,Family,wizardofozthe,121
AUNT EM,Family,wizardofozthe,77
(CONTINUED),Family,wizardofozthe,254
UNCLE HENRY,Family,wizardofozthe,43
DOROTHY,Family,wizardofozthe,834
